study_hours_per_day,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,mental_health_rating,extracurricular_participation,exam_score
4.9,97.0,6.7,1,4,3,0,77.2
6.1,69.8,5.7,2,3,9,1,100.0
3.3,90.0,8.5,2,5,4,0,73.0
3.2,91.3,6.7,1,3,3,0,68.5
3.6,72.6,3.3,1,1,8,0,61.0
5.2,70.0,6.9,1,2,1,1,70.5
2.1,77.5,6.1,2,0,5,0,52.5
3.9,78.4,6.4,2,3,1,0,62.8
5.0,92.5,6.1,1,3,7,1,83.5
4.3,78.9,7.5,2,4,5,0,71.4
3.8,76.4,7.8,1,1,2,0,61.5
5.0,78.9,6.8,0,6,1,0,75.4
0.0,96.2,6.1,0,6,7,0,42.0
4.5,85.1,6.5,1,4,1,0,64.0
2.5,83.2,6.5,1,5,3,0,60.1
0.8,83.9,5.5,0,3,6,0,34.7
4.3,97.9,7.2,2,3,6,0,88.0
5.6,77.5,7.1,1,4,7,0,100.0
3.3,98.2,8.3,1,3,1,0,66.1
4.9,87.1,8.0,1,5,7,0,95.5
5.9,83.4,5.7,0,2,2,1,86.4
5.5,100.0,7.5,1,0,6,0,77.3
6.0,74.4,5.4,1,0,8,1,90.2
4.6,81.5,7.3,1,0,5,1,80.2
3.6,72.7,5.9,0,2,10,1,72.9
1.1,94.5,5.3,1,3,3,0,35.8
3.1,100.0,6.8,0,4,8,1,72.8
2.2,100.0,3.3,2,6,8,0,67.6
6.8,97.2,4.4,2,1,4,0,93.1
3.2,83.0,6.3,0,3,8,1,57.5
3.7,81.3,6.6,1,2,5,1,61.1
4.3,68.3,6.1,0,5,5,0,77.4
3.6,100.0,4.6,1,2,3,0,69.6
6.0,89.7,5.5,1,6,7,0,100.0
2.6,80.1,7.0,1,0,9,0,69.3
3.8,98.3,7.2,1,3,9,0,85.7
2.4,75.3,6.5,2,6,1,0,53.9
1.5,89.1,7.9,1,0,1,0,43.7
2.6,83.3,7.0,1,1,10,0,79.3
3.4,91.4,5.6,1,5,5,0,71.3
2.9,84.4,6.2,2,0,1,1,61.4
2.5,70.5,4.8,2,1,4,0,45.1
1.4,85.8,6.4,1,2,1,0,39.8
3.4,95.5,7.8,2,0,2,0,70.7
1.2,84.7,7.3,1,0,2,1,35.6
4.6,92.8,8.2,2,4,4,0,93.0
3.6,74.5,6.1,2,5,8,1,83.2
1.3,84.7,8.1,0,5,2,1,46.6
3.0,78.8,6.3,2,6,9,1,70.8
2.4,92.5,8.3,1,2,9,0,78.3
4.0,85.3,6.5,1,4,2,1,70.7
5.5,91.9,7.3,1,6,1,0,82.6
0.7,95.9,8.3,2,1,10,1,50.3
3.7,91.9,6.3,1,6,10,0,80.9
3.3,87.7,6.8,0,1,9,1,75.4
4.5,75.0,8.0,2,2,2,1,83.7
3.8,85.0,6.3,0,5,8,0,76.8
2.4,79.7,4.9,0,1,3,0,45.8
3.0,81.6,9.1,1,2,1,1,58.4
2.3,81.3,5.9,1,6,1,1,70.3
5.1,75.2,6.7,1,1,10,1,99.4
3.5,65.4,7.9,0,3,2,0,62.9
6.4,78.3,5.8,2,0,7,0,98.0
3.4,86.9,5.3,2,6,6,0,74.7
2.4,71.5,6.8,1,5,2,1,50.4
1.2,85.2,4.3,1,6,4,0,49.4
0.8,100.0,6.2,1,3,2,1,35.3
1.1,95.2,6.8,2,2,1,1,46.3
3.9,100.0,6.2,0,2,3,0,68.4
4.3,88.9,4.6,0,6,4,0,84.2
1.1,96.7,8.4,2,3,10,1,54.6
4.8,77.8,6.6,1,6,5,0,88.0
2.8,78.6,8.2,1,0,5,0,61.5
3.7,57.6,6.2,2,0,7,0,75.7
5.9,96.9,5.4,2,4,10,0,100.0
4.8,100.0,6.8,1,1,8,0,82.6
3.1,79.5,6.2,2,4,9,0,71.5
2.2,82.5,5.1,0,0,7,0,57.6
0.3,77.5,8.3,2,3,5,0,36.1
2.4,88.8,5.8,1,1,9,1,67.4
3.2,96.2,4.3,2,3,8,0,74.8
2.0,67.6,8.1,2,4,10,1,73.6
3.3,89.1,5.9,2,2,9,1,79.5
3.6,82.2,5.8,2,3,10,0,62.5
3.2,86.1,4.4,1,4,8,1,76.3
2.5,89.6,8.6,1,4,6,0,75.6
3.8,83.1,5.0,1,4,4,0,64.4
4.2,84.0,6.6,2,2,9,0,75.3
1.9,82.9,7.6,2,2,9,1,50.4
5.6,94.7,7.0,1,6,10,1,100.0
3.4,89.2,6.4,2,2,10,0,76.4
3.5,87.2,4.5,2,1,9,0,69.9
4.6,72.3,5.5,2,2,10,1,88.9
3.8,81.2,6.7,2,2,3,1,70.4
4.9,94.0,5.6,1,2,3,0,69.4
3.9,85.4,6.7,0,3,6,1,84.9
2.6,91.6,7.3,0,2,6,0,63.6
4.0,100.0,7.7,1,1,6,0,82.2
1.8,95.4,5.0,2,4,5,0,37.4
3.7,85.9,9.1,2,3,5,0,73.8
3.5,79.9,7.4,2,0,2,1,53.4
3.2,59.5,6.5,2,2,7,0,64.2
3.3,83.3,7.8,0,6,4,0,70.4
0.7,81.7,9.3,0,6,3,0,51.5
2.7,88.9,4.8,0,4,8,0,53.4
3.6,83.5,6.2,1,4,4,0,77.2
3.7,81.8,3.6,1,3,4,1,59.8
2.0,67.2,6.7,0,6,8,0,55.4
5.4,75.6,6.9,1,0,1,0,69.9
2.2,89.8,6.5,0,5,9,0,71.6
5.0,100.0,5.7,2,6,7,0,92.9
4.1,84.0,4.0,1,6,2,0,72.4
2.5,88.3,6.9,1,1,6,0,70.5
6.2,94.5,8.2,1,5,8,0,100.0
1.7,76.9,5.8,2,4,5,1,37.4
4.9,88.7,7.0,1,5,6,0,88.7
5.0,77.6,4.6,1,6,10,0,88.6
2.5,93.6,7.0,2,4,8,0,68.5
5.6,86.5,6.0,1,5,6,0,100.0
3.1,88.0,5.6,2,4,9,0,66.9
3.9,77.2,5.6,1,4,9,0,71.5
3.9,92.1,6.0,1,3,9,0,77.8
3.3,100.0,7.0,0,0,6,1,67.7
4.7,74.9,4.9,2,4,9,1,96.4
4.7,81.6,6.0,1,1,3,0,83.1
0.9,87.3,6.5,0,6,5,0,37.9
5.5,92.9,5.2,1,6,2,1,76.3
1.0,79.4,8.7,1,1,8,1,52.6
5.0,56.7,5.5,0,2,4,0,83.6
5.2,98.6,5.7,2,4,6,0,92.0
1.9,92.6,5.3,2,4,6,0,53.2
2.9,67.6,8.7,0,4,5,1,56.4
1.8,78.9,7.2,1,5,1,0,58.1
3.2,100.0,5.4,2,4,7,0,70.9
3.0,99.5,7.8,1,4,10,0,98.7
4.7,94.4,6.7,1,1,8,0,83.3
5.5,83.2,6.8,1,0,1,1,80.6
5.6,85.8,6.1,2,0,10,0,91.3
2.7,83.7,5.6,2,2,7,1,63.5
3.2,96.3,6.9,2,1,4,1,66.3
1.0,76.2,5.8,0,4,6,0,49.9
2.3,76.9,8.7,1,0,9,0,68.9
4.9,95.1,5.0,2,3,5,0,94.2
5.9,84.6,8.3,0,3,8,0,100.0
1.6,98.8,6.4,2,3,5,0,58.6
2.6,78.3,6.9,2,4,2,0,53.2
3.5,84.5,7.5,0,4,4,1,70.5
3.9,75.8,5.7,2,2,2,0,64.0
2.3,85.1,7.5,1,6,7,1,77.4
4.1,70.2,3.3,2,2,7,0,57.4
2.8,80.1,5.6,1,2,3,1,59.9
3.5,70.6,5.4,1,5,7,0,66.7
4.3,91.9,5.0,2,3,1,0,58.4
3.5,92.2,6.2,2,4,1,0,63.6
2.8,67.7,7.0,0,3,9,0,62.6
3.3,98.3,7.3,1,2,6,0,70.6
3.4,100.0,6.8,0,4,5,0,75.2
2.9,85.5,5.7,1,1,6,0,50.1
3.1,78.6,6.9,1,0,6,0,72.8
5.9,100.0,6.6,1,0,1,1,72.7
4.3,71.8,7.6,1,2,5,1,76.0
3.1,85.2,7.4,0,6,9,1,74.1
4.5,86.8,6.5,0,3,4,1,79.0
3.0,98.5,5.4,0,1,3,0,51.3
5.3,88.6,5.7,1,4,1,1,71.0
4.1,80.0,5.8,2,6,2,1,76.4
3.3,75.5,6.1,0,3,3,1,52.6
4.2,81.6,6.8,2,2,4,0,74.0
1.1,74.9,7.4,2,3,7,0,42.6
1.8,85.5,6.4,2,2,6,0,49.8
1.7,79.4,6.5,2,5,8,0,45.7
3.7,70.1,6.7,2,0,9,1,77.2
6.1,97.6,5.9,0,6,6,0,98.5
6.8,80.0,5.4,1,0,7,0,96.2
4.5,72.3,4.4,2,3,4,1,71.3
4.3,83.3,5.7,1,1,2,0,59.2
0.8,85.7,7.1,2,4,9,0,51.8
2.7,67.5,5.7,0,2,9,0,59.3
2.3,88.3,6.2,2,4,4,0,58.5
2.6,74.5,7.1,1,0,3,1,44.5
3.2,100.0,7.1,1,1,10,1,75.4
2.8,90.2,5.2,1,1,6,1,54.9
0.5,81.0,7.7,2,4,3,1,30.2
4.6,77.5,7.9,2,0,1,1,71.8
1.9,84.0,5.1,1,4,4,0,51.8
3.9,91.1,5.5,2,3,1,1,59.5
6.6,84.7,7.9,1,1,2,0,96.6
2.1,82.8,6.3,0,1,3,0,44.1
0.0,85.6,3.8,0,3,8,0,30.5
3.1,79.0,4.8,0,0,10,0,63.7
5.2,81.6,6.2,1,1,4,0,74.0
6.4,64.1,5.1,1,6,4,0,98.8
1.7,94.7,6.0,2,5,10,0,53.0
4.2,88.0,6.5,2,5,9,0,84.6
2.8,77.3,8.3,0,5,7,0,73.0
3.3,100.0,6.2,1,2,2,1,57.1
7.5,85.9,7.8,1,6,3,0,100.0
1.2,74.6,8.2,1,2,4,0,36.2
3.9,93.6,8.2,0,0,4,0,65.6
4.2,89.0,6.8,0,3,10,1,87.5
5.1,88.9,4.1,2,4,8,0,100.0
3.6,80.7,7.1,2,6,10,0,85.6
4.0,89.5,7.8,0,0,10,1,89.4
2.9,82.4,6.4,1,4,6,0,66.9
3.9,90.6,8.6,1,0,3,0,56.0
3.0,66.0,7.5,2,2,9,0,77.9
4.4,80.7,7.2,1,5,10,0,91.3
2.9,100.0,7.8,0,3,8,0,68.4
4.1,77.3,6.9,2,2,9,0,85.3
3.5,79.0,3.5,1,3,5,1,64.4
5.2,80.5,5.9,1,6,3,0,82.8
3.4,72.9,7.9,1,4,4,0,78.0
0.8,62.9,5.5,1,0,5,0,31.5
5.4,82.7,6.2,1,1,9,0,92.3
2.1,86.4,5.2,1,1,9,1,50.1
2.5,84.5,8.6,1,3,3,0,49.4
2.6,83.6,8.5,0,5,7,0,80.3
5.6,85.4,5.4,2,5,6,1,89.7
0.3,95.2,6.7,0,3,4,1,33.6
8.2,83.1,5.7,0,2,5,1,100.0
5.1,79.3,7.2,2,1,10,0,90.6
3.8,82.2,7.1,2,2,2,1,66.3
3.4,90.8,7.5,2,4,7,1,86.1
3.9,99.1,6.9,1,1,4,0,65.5
4.3,78.7,10.0,1,4,2,0,82.9
4.5,86.0,5.3,2,0,6,1,76.3
4.3,88.4,4.4,2,2,2,1,59.0
3.6,75.1,6.0,1,3,10,1,76.1
3.2,85.2,4.6,2,1,2,1,40.3
3.3,70.3,4.7,0,2,7,1,65.2
3.2,67.3,5.3,2,3,1,0,43.9
5.2,88.7,5.4,2,0,7,1,89.5
4.4,81.2,5.4,2,1,10,0,80.7
0.0,87.0,7.1,2,4,5,0,53.0
4.5,84.8,5.9,2,0,1,0,70.6
3.8,75.2,6.3,0,5,6,0,65.5
3.5,84.5,7.6,1,3,7,0,75.1
2.9,72.7,5.6,0,1,1,0,43.5
5.2,98.9,6.2,1,1,9,0,80.6
4.9,71.4,6.9,2,6,7,1,88.2
2.3,83.0,4.2,1,6,1,1,48.5
4.1,74.6,3.6,1,0,3,0,67.3
2.0,90.7,6.9,1,1,5,0,50.7
1.4,81.7,7.1,2,3,4,0,35.4
2.6,79.8,9.0,0,0,2,0,49.1
4.8,93.5,6.7,1,4,1,0,85.4
4.9,85.3,7.5,0,0,4,0,83.9
4.3,90.2,6.3,2,0,7,0,90.4
4.6,75.2,6.9,0,4,4,0,87.8
4.3,71.0,8.5,2,5,9,0,87.5
2.5,86.1,4.0,1,6,8,0,58.2
4.1,81.8,7.0,0,3,8,1,73.2
4.7,91.3,9.1,2,5,5,0,83.5
4.6,84.2,6.8,0,5,1,1,77.6
5.3,87.1,8.5,1,5,9,1,98.4
4.6,68.8,5.7,0,6,2,0,78.5
4.0,100.0,6.5,1,2,6,1,81.1
5.1,83.4,6.5,1,6,10,0,100.0
3.5,92.0,3.8,1,5,5,1,58.7
2.2,76.6,5.1,0,2,10,0,62.6
3.3,88.1,5.2,1,4,8,1,60.3
2.4,72.0,7.5,2,6,3,0,63.9
2.5,89.5,7.5,2,3,6,1,80.0
3.3,81.4,6.9,1,5,6,0,62.6
2.3,85.3,7.5,1,1,10,0,71.4
3.0,92.0,6.3,1,4,3,0,60.6
0.7,72.7,7.9,1,2,7,1,47.2
3.8,78.2,6.5,0,6,4,1,78.1
3.5,89.6,6.6,1,3,5,1,75.5
2.3,100.0,6.2,1,0,9,0,73.5
4.5,83.6,7.3,1,3,6,0,74.6
4.9,90.9,6.0,1,3,10,0,98.7
1.1,83.9,7.7,2,5,4,1,49.2
2.4,100.0,5.1,0,5,8,0,67.4
2.3,67.5,5.2,2,6,9,0,72.5
2.1,85.9,7.3,2,6,10,1,68.4
4.7,68.7,6.4,1,2,5,0,70.0
3.2,59.9,6.0,1,6,2,0,56.1
3.1,88.0,7.6,1,2,6,1,81.5
0.5,86.4,5.8,0,5,8,1,45.0
4.5,82.2,6.3,1,5,5,1,84.4
1.6,83.9,8.2,2,1,1,0,36.8
3.6,100.0,8.3,0,1,8,1,65.6
3.9,82.4,8.4,1,4,9,1,93.5
5.5,90.1,6.2,2,5,1,0,93.7
1.5,78.5,8.0,2,0,8,1,42.3
0.0,88.0,5.4,1,1,10,1,53.3
3.8,82.6,5.4,2,2,2,0,65.9
6.2,80.9,3.7,1,3,4,1,87.9
5.4,100.0,8.5,0,6,2,0,94.5
3.8,96.8,5.5,1,6,2,0,77.8
2.8,86.4,6.3,1,4,10,0,74.6
4.7,62.0,5.4,2,1,3,0,67.5
2.0,81.4,7.3,0,3,8,1,66.5
4.2,100.0,6.0,1,3,4,0,78.4
4.3,82.7,4.9,1,1,7,0,84.9
5.1,96.0,7.0,1,0,10,0,96.6
7.6,99.4,4.8,0,0,3,0,100.0
4.1,87.2,5.5,1,4,10,0,83.1
2.7,76.6,4.0,2,0,3,0,36.9
3.5,60.6,4.8,1,4,2,0,60.0
0.8,91.8,6.7,1,2,6,0,44.3
2.5,76.9,4.1,1,1,6,0,41.6
2.9,86.8,4.7,1,3,1,0,45.5
2.7,72.5,6.5,1,4,7,0,68.2
3.7,82.3,5.8,2,6,4,0,75.5
2.3,85.3,8.9,2,0,3,0,40.9
5.2,87.7,8.7,1,6,8,0,100.0
3.5,73.9,5.5,1,4,2,1,65.6
3.5,97.0,7.2,2,5,9,0,75.9
3.0,79.0,7.4,1,4,8,1,69.8
3.7,68.3,5.8,1,0,8,0,66.6
4.7,83.9,4.7,1,5,3,0,84.5
2.2,85.3,6.5,2,5,4,1,65.6
2.5,86.6,6.3,1,0,2,0,46.8
3.0,98.6,6.0,2,5,2,0,67.7
1.5,82.6,7.0,2,1,4,1,45.4
2.3,83.8,5.6,1,3,6,0,57.0
2.8,74.0,5.1,2,6,5,0,58.4
4.8,93.2,6.6,2,1,1,1,70.8
3.9,86.8,7.0,1,1,10,0,75.7
3.8,80.8,5.1,0,0,1,0,55.7
4.8,66.0,7.6,0,0,6,1,82.1
3.3,99.4,4.4,1,6,3,1,71.4
4.1,72.7,5.8,1,3,3,0,66.7
3.3,79.1,6.2,1,4,7,0,70.9
3.9,88.6,5.7,0,1,1,1,73.0
2.6,73.0,5.8,2,5,1,1,53.9
0.0,70.1,8.7,1,3,10,0,43.4
3.3,63.8,5.5,1,1,3,0,55.4
5.6,92.2,9.4,1,4,8,0,100.0
4.9,79.5,7.0,1,5,1,0,71.8
4.9,100.0,6.6,1,1,10,0,89.2
5.4,75.1,7.1,1,2,4,0,83.9
3.6,75.8,9.5,0,6,9,0,89.1
3.8,79.3,5.3,2,3,4,0,53.5
2.6,87.4,5.2,2,6,10,0,72.9
3.0,80.3,5.6,1,0,8,0,61.0
4.4,91.1,6.5,2,1,7,0,69.1
5.3,75.2,4.4,2,5,3,0,77.2
3.3,71.2,6.5,0,5,7,0,71.9
2.8,67.0,8.5,2,3,7,1,74.7
3.5,62.8,6.7,2,3,10,0,74.5
4.4,79.8,6.1,1,6,3,0,85.4
1.3,82.0,5.8,0,5,2,1,44.3
0.1,78.7,7.6,0,5,9,0,53.4
2.7,97.4,5.5,0,5,1,1,57.4
1.7,97.3,8.7,2,1,7,0,53.6
2.7,81.7,8.8,1,5,4,1,58.8
3.3,67.1,6.8,2,0,2,0,43.5
2.8,79.3,6.5,2,5,2,0,65.6
5.7,79.0,7.7,2,0,8,1,89.8
4.0,78.4,7.8,2,1,7,0,89.5
4.0,78.0,5.5,0,3,7,1,68.8
4.4,78.5,5.9,1,0,5,0,76.8
1.8,81.1,4.9,2,1,10,0,47.5
5.1,78.6,7.0,0,5,8,1,89.3
3.4,87.1,7.3,0,1,2,0,62.0
4.5,88.6,4.9,2,5,2,1,66.1
1.9,75.9,6.0,2,6,5,0,41.7
1.2,97.7,4.9,1,1,1,0,28.0
4.7,75.2,5.4,2,3,6,0,71.0
4.1,68.8,7.2,2,0,4,0,67.5
2.1,88.8,5.6,1,6,6,0,63.4
2.2,76.8,6.1,0,3,7,0,50.2
5.2,88.2,4.5,2,2,3,0,72.0
1.7,61.0,6.7,1,5,8,1,67.9
6.0,98.9,6.4,0,0,7,0,100.0
2.1,91.7,5.6,1,3,1,1,55.0
4.5,70.0,6.3,2,0,6,1,59.9
3.0,70.2,6.7,1,2,7,0,63.2
4.4,100.0,5.5,1,4,4,0,84.5
2.7,77.6,4.7,1,5,2,0,50.8
3.3,76.7,8.7,2,5,10,0,94.0
3.6,62.3,5.7,0,1,9,0,65.6
2.0,81.5,6.4,1,5,7,0,61.7
4.6,82.7,7.7,2,5,1,1,66.0
2.7,92.2,10.0,0,3,8,0,86.9
3.2,71.0,5.0,2,6,3,0,59.6
2.0,69.8,7.0,2,5,4,0,49.1
0.0,89.5,5.7,2,5,5,0,31.1
3.2,95.1,5.9,1,2,1,0,45.7
7.1,69.3,5.6,2,6,6,0,100.0
4.7,95.8,5.1,2,2,10,0,81.1
3.5,85.4,6.5,2,0,6,0,55.1
3.1,95.9,4.7,0,0,2,0,53.3
3.5,84.3,7.6,2,5,10,1,89.1
4.3,59.8,6.6,1,5,6,1,77.3
1.7,83.5,7.0,0,1,8,1,56.4
5.2,95.6,5.9,1,0,6,0,76.1
4.6,76.1,6.1,2,3,4,0,74.6
4.6,81.1,6.8,1,5,4,0,83.0
4.2,83.2,5.1,1,3,9,1,85.9
3.5,56.0,6.1,2,5,6,0,64.5
4.5,100.0,5.5,1,3,8,0,91.9
4.4,76.0,5.4,2,4,8,0,74.6
3.0,90.1,4.0,1,3,7,0,70.9
2.6,84.1,8.1,1,6,3,0,66.7
3.7,97.6,5.7,2,0,10,1,77.4
5.8,89.1,7.9,2,5,1,1,99.0
1.6,82.7,7.8,1,0,5,1,43.5
1.3,76.1,5.0,2,6,10,0,53.4
3.7,93.0,5.2,0,6,10,1,81.0
3.6,66.3,9.6,1,3,2,0,66.2
3.8,91.5,8.6,1,2,10,0,88.0
3.9,74.0,6.5,0,2,2,0,64.4
3.2,97.5,6.8,1,6,7,0,82.4
5.7,86.6,5.7,1,2,3,1,80.9
1.1,91.4,7.0,0,5,8,0,59.6
2.3,85.8,5.6,1,1,9,0,56.2
3.3,67.5,4.1,1,4,8,1,72.5
1.0,76.4,4.9,1,3,6,0,47.6
3.2,91.7,6.5,2,1,5,0,63.6
6.0,86.7,5.1,2,2,3,0,85.3
3.5,96.8,6.4,1,3,3,0,71.8
3.8,89.0,5.2,2,1,7,0,70.9
1.6,75.3,5.6,2,0,5,0,41.7
2.6,77.0,7.5,1,2,6,1,76.1
2.9,86.0,6.8,0,1,6,1,65.9
3.0,61.9,6.5,2,5,9,1,64.4
5.4,100.0,7.6,1,0,1,0,69.7
4.3,89.4,7.1,2,2,8,0,74.9
